question,answer,image_id
What is the emotion in the image 03bSnISJMiM_0?,happy,03bSnISJMiM_0
What is the emotion in the image 03bSnISJMiM_10?,normal,03bSnISJMiM_10
What is the emotion in the image 03bSnISJMiM_11?,happy,03bSnISJMiM_11
What is the emotion in the image 03bSnISJMiM_12?,happy,03bSnISJMiM_12
What is the emotion in the image 03bSnISJMiM_1?,normal,03bSnISJMiM_1
What is the emotion in the image 03bSnISJMiM_2?,normal,03bSnISJMiM_2
What is the emotion in the image 03bSnISJMiM_3?,sad,03bSnISJMiM_3
What is the emotion in the image 03bSnISJMiM_4?,normal,03bSnISJMiM_4
What is the emotion in the image 03bSnISJMiM_5?,normal,03bSnISJMiM_5
What is the emotion in the image 03bSnISJMiM_6?,normal,03bSnISJMiM_6
What is the emotion in the image 03bSnISJMiM_7?,normal,03bSnISJMiM_7
What is the emotion in the image 03bSnISJMiM_8?,normal,03bSnISJMiM_8
What is the emotion in the image 03bSnISJMiM_9?,sad,03bSnISJMiM_9
What is the emotion in the image 0h-zjBukYpk_0?,normal,0h-zjBukYpk_0
What is the emotion in the image 0h-zjBukYpk_10?,normal,0h-zjBukYpk_10
What is the emotion in the image 0h-zjBukYpk_11?,normal,0h-zjBukYpk_11
What is the emotion in the image 0h-zjBukYpk_12?,happy,0h-zjBukYpk_12
What is the emotion in the image 0h-zjBukYpk_13?,happy,0h-zjBukYpk_13
What is the emotion in the image 0h-zjBukYpk_14?,normal,0h-zjBukYpk_14
What is the emotion in the image 0h-zjBukYpk_15?,normal,0h-zjBukYpk_15
What is the emotion in the image 0h-zjBukYpk_16?,normal,0h-zjBukYpk_16
What is the emotion in the image 0h-zjBukYpk_17?,sad,0h-zjBukYpk_17
What is the emotion in the image 0h-zjBukYpk_18?,normal,0h-zjBukYpk_18
What is the emotion in the image 0h-zjBukYpk_19?,normal,0h-zjBukYpk_19
What is the emotion in the image 0h-zjBukYpk_1?,sad,0h-zjBukYpk_1
What is the emotion in the image 0h-zjBukYpk_20?,happy,0h-zjBukYpk_20
What is the emotion in the image 0h-zjBukYpk_21?,happy,0h-zjBukYpk_21
What is the emotion in the image 0h-zjBukYpk_22?,happy,0h-zjBukYpk_22
What is the emotion in the image 0h-zjBukYpk_23?,happy,0h-zjBukYpk_23
What is the emotion in the image 0h-zjBukYpk_24?,happy,0h-zjBukYpk_24
What is the emotion in the image 0h-zjBukYpk_2?,normal,0h-zjBukYpk_2
What is the emotion in the image 0h-zjBukYpk_3?,sad,0h-zjBukYpk_3
What is the emotion in the image 0h-zjBukYpk_4?,normal,0h-zjBukYpk_4
What is the emotion in the image 0h-zjBukYpk_5?,sad,0h-zjBukYpk_5
What is the emotion in the image 0h-zjBukYpk_6?,happy,0h-zjBukYpk_6
What is the emotion in the image 0h-zjBukYpk_7?,normal,0h-zjBukYpk_7
What is the emotion in the image 0h-zjBukYpk_8?,normal,0h-zjBukYpk_8
What is the emotion in the image 0h-zjBukYpk_9?,normal,0h-zjBukYpk_9
What is the emotion in the image 1DmNV9C1hbY_0?,sad,1DmNV9C1hbY_0
What is the emotion in the image 1DmNV9C1hbY_10?,sad,1DmNV9C1hbY_10
What is the emotion in the image 1DmNV9C1hbY_11?,normal,1DmNV9C1hbY_11
What is the emotion in the image 1DmNV9C1hbY_12?,sad,1DmNV9C1hbY_12
What is the emotion in the image 1DmNV9C1hbY_13?,sad,1DmNV9C1hbY_13
What is the emotion in the image 1DmNV9C1hbY_1?,happy,1DmNV9C1hbY_1
What is the emotion in the image 1DmNV9C1hbY_2?,happy,1DmNV9C1hbY_2
What is the emotion in the image 1DmNV9C1hbY_3?,happy,1DmNV9C1hbY_3
What is the emotion in the image 1DmNV9C1hbY_4?,sad,1DmNV9C1hbY_4
What is the emotion in the image 1DmNV9C1hbY_5?,sad,1DmNV9C1hbY_5
What is the emotion in the image 1DmNV9C1hbY_6?,sad,1DmNV9C1hbY_6
What is the emotion in the image 1DmNV9C1hbY_7?,sad,1DmNV9C1hbY_7
What is the emotion in the image 1DmNV9C1hbY_8?,happy,1DmNV9C1hbY_8
What is the emotion in the image 1DmNV9C1hbY_9?,happy,1DmNV9C1hbY_9
What is the emotion in the image 1iG0909rllw_0?,normal,1iG0909rllw_0
What is the emotion in the image 1iG0909rllw_10?,happy,1iG0909rllw_10
What is the emotion in the image 1iG0909rllw_11?,happy,1iG0909rllw_11
What is the emotion in the image 1iG0909rllw_12?,happy,1iG0909rllw_12
What is the emotion in the image 1iG0909rllw_13?,normal,1iG0909rllw_13
What is the emotion in the image 1iG0909rllw_14?,sad,1iG0909rllw_14
What is the emotion in the image 1iG0909rllw_15?,sad,1iG0909rllw_15
What is the emotion in the image 1iG0909rllw_16?,sad,1iG0909rllw_16
What is the emotion in the image 1iG0909rllw_17?,sad,1iG0909rllw_17
What is the emotion in the image 1iG0909rllw_18?,normal,1iG0909rllw_18
What is the emotion in the image 1iG0909rllw_19?,normal,1iG0909rllw_19
What is the emotion in the image 1iG0909rllw_1?,sad,1iG0909rllw_1
What is the emotion in the image 1iG0909rllw_20?,normal,1iG0909rllw_20
What is the emotion in the image 1iG0909rllw_21?,normal,1iG0909rllw_21
What is the emotion in the image 1iG0909rllw_22?,happy,1iG0909rllw_22
What is the emotion in the image 1iG0909rllw_23?,normal,1iG0909rllw_23
What is the emotion in the image 1iG0909rllw_24?,happy,1iG0909rllw_24
What is the emotion in the image 1iG0909rllw_25?,normal,1iG0909rllw_25
What is the emotion in the image 1iG0909rllw_26?,happy,1iG0909rllw_26
What is the emotion in the image 1iG0909rllw_27?,happy,1iG0909rllw_27
What is the emotion in the image 1iG0909rllw_28?,sad,1iG0909rllw_28
What is the emotion in the image 1iG0909rllw_29?,sad,1iG0909rllw_29
What is the emotion in the image 1iG0909rllw_2?,happy,1iG0909rllw_2
What is the emotion in the image 1iG0909rllw_3?,sad,1iG0909rllw_3
What is the emotion in the image 1iG0909rllw_4?,happy,1iG0909rllw_4
What is the emotion in the image 1iG0909rllw_5?,happy,1iG0909rllw_5
What is the emotion in the image 1iG0909rllw_6?,normal,1iG0909rllw_6
What is the emotion in the image 1iG0909rllw_7?,sad,1iG0909rllw_7
What is the emotion in the image 1iG0909rllw_8?,normal,1iG0909rllw_8
What is the emotion in the image 1iG0909rllw_9?,normal,1iG0909rllw_9
What is the emotion in the image 2WGyTLYerpo_0?,happy,2WGyTLYerpo_0
What is the emotion in the image 2WGyTLYerpo_10?,happy,2WGyTLYerpo_10
What is the emotion in the image 2WGyTLYerpo_11?,happy,2WGyTLYerpo_11
What is the emotion in the image 2WGyTLYerpo_12?,happy,2WGyTLYerpo_12
What is the emotion in the image 2WGyTLYerpo_13?,normal,2WGyTLYerpo_13
